File Name,Sentence
2009_barack_obama_d.pdf,"we failed to look beyond the next payment, the next quarter, or the next election."
2010_barack_obama_d.pdf,But we still need to govern.
2011_barack_obama_d.pdf,"As Robert Kennedy told us:  file:///C/WalidLenovo/SEAS6800Local/USBankLLM/textfiles/2011_barack_obama_d.txt [10/18/2023 3:48:40 PM]""The future is not a gift."
2012_barack_obama_d.pdf,We bet on American ingenuity.
2013_barack_obama_d.pdf,"creates good, middle class jobs, that must be the north star that guides our efforts."
2014_barack_obama_d.pdf,"marches the red, white, and blue into the Olympic Stadium and brings home the gold."
2015_barack_obama_d.pdf,That's what makes us exceptional.
2016_barack_obama_d.pdf,"correctness, this is a matter of understanding just what it is that makes us strong."
2017_donald_j_trump_r.pdf,"I am.I believe strongly in free trade, but it also has to be fair trade."
2018_donald_j_trump_r.pdf,The Holets named their new daughter Hope.
2019_donald_j_trump_r.pdf,and foe alike must never doubt this Nation's power and will to defend our people.
2020_donald_j_trump_r.pdf,million new jobs — 5 million more than Government experts projected during the previous administration.
2021_joseph_r_biden_d.pdf,Extraordinary courage was summoned.
